"Category","Hombre","Mujer","Indeterminado"
"0",5,6,0
"1",1,0,0
"2",1,2,0
"3",1,2,0
"4",3,2,0
"5",4,1,0
"6",2,1,0
"7",1,0,0
"8",0,3,0
"10",7,1,0
"11",1,2,0
"12",8,10,0
"13",12,23,0
"14",11,32,0
